iter	Accuracy	Logloss
187	0.8024989351	0.4217915431
188	0.8024989351	0.4216017764
189	0.8024989351	0.4214339708
190	0.80292489	0.421238629
191	0.8026409201	0.4211338088
192	0.80292489	0.420977253
193	0.8032088599	0.4208036462
194	0.802782905	0.4206240367
195	0.8033508448	0.4204356436
196	0.8032088599	0.420203864
197	0.8033508448	0.4200557694
198	0.8032088599	0.4198956504
199	0.8030668749	0.4197322463
200	0.8030668749	0.4196257871
201	0.80292489	0.4194780707
202	0.8032088599	0.419309472
203	0.8033508448	0.4191288159
204	0.8034928298	0.4189792919
205	0.8030668749	0.4188241345
206	0.8033508448	0.4186977224
207	0.8032088599	0.4186037931
208	0.8034928298	0.4184793654
209	0.80292489	0.4183585987
210	0.8030668749	0.4181973163
211	0.80292489	0.4180356557
212	0.8036348147	0.4178744326
213	0.8037767997	0.4177454651
214	0.8037767997	0.4176751885
215	0.8042027545	0.4174995213
216	0.8040607696	0.4173541698
217	0.8037767997	0.4172101584
218	0.8039187846	0.4170396369
219	0.8036348147	0.4169112939
220	0.8039187846	0.4167688253
221	0.8042027545	0.4165677006
222	0.8044867244	0.416466793
223	0.8043447395	0.416294593
224	0.8046287094	0.4161845571
225	0.8044867244	0.4160777159
226	0.8044867244	0.41593925
227	0.8043447395	0.4158202439
228	0.8044867244	0.4157021206
229	0.8047706943	0.4155799068
230	0.8046287094	0.4154469748
231	0.8047706943	0.4152739713
232	0.8047706943	0.4151690392
233	0.8047706943	0.4150951612
234	0.8050546642	0.4149714339
235	0.8054806191	0.4148970979
236	0.8054806191	0.4148159208
237	0.805622604	0.4147275178
238	0.8053386341	0.4146211727
239	0.8053386341	0.4144290688
240	0.8054806191	0.4143062435
241	0.805622604	0.4142029235
242	0.805622604	0.4141032979
243	0.805622604	0.4139669762
244	0.805764589	0.4138641957
245	0.8059065739	0.413743498
246	0.8060485589	0.4136197411
247	0.8059065739	0.4135270465
248	0.805764589	0.4134090322
249	0.805764589	0.4133139716
250	0.805764589	0.4132210887
251	0.805764589	0.4131191155
252	0.805622604	0.4130347335
253	0.805764589	0.412930349
254	0.805764589	0.4128343293
255	0.805764589	0.4127706622
256	0.8060485589	0.4126719367
257	0.805622604	0.41258521
258	0.805622604	0.4124946618
259	0.805764589	0.4123856006
260	0.805764589	0.4122982294
261	0.805622604	0.4121987307
262	0.805764589	0.4120780104
263	0.805764589	0.4119855748
264	0.805764589	0.4118999658
265	0.805764589	0.4117924098
266	0.805764589	0.4117228735
267	0.8060485589	0.4116099793
268	0.8063325288	0.4115479485
269	0.8064745137	0.4114658083
270	0.8061905438	0.4113882638
271	0.8063325288	0.411305835
272	0.8064745137	0.4112161868
273	0.8067584836	0.4111289811
